date,usdollars
1992-01-01,7114.1666666666666667
1993-01-01,7343.9166666666666667
1994-01-01,7513.4166666666666667
1995-01-01,7559.0000000000000000
1996-01-01,7809.3333333333333333
1997-01-01,8143.5000000000000000
1998-01-01,8677.3333333333333333
1999-01-01,9306.7500000000000000
2000-01-01,9841.4166666666666667
2001-01-01,9934.0000000000000000
2002-01-01,10236.1666666666666667
2003-01-01,10696.7500000000000000
2004-01-01,11440.750000000000
2005-01-01,12131.250000000000
2006-01-01,12878.833333333333
2007-01-01,13468.500000000000
2008-01-01,13141.833333333333
2009-01-01,12614.166666666667
2010-01-01,13189.666666666667
2011-01-01,14007.916666666667
2012-01-01,14677.583333333333
2013-01-01,14916.083333333333
2014-01-01,15260.416666666667
2015-01-01,15595.750000000000
2016-01-01,15791.750000000000
2017-01-01,15886.166666666667
2018-01-01,16569.833333333333

