date,usdollars
1992-01-01,4852
1992-02-01,5159
1992-03-01,6024
1992-04-01,6682
1992-05-01,6768
1992-06-01,6534
1992-07-01,6551
1992-08-01,7486
1992-09-01,6878
1992-10-01,7514
1992-11-01,8201
1992-12-01,12721
1993-01-01,5439
1993-02-01,5284
1993-03-01,6349
1993-04-01,7112
1993-05-01,7128
1993-06-01,6725
1993-07-01,6905
1993-08-01,7386
1993-09-01,7093
1993-10-01,7535
1993-11-01,8499
1993-12-01,12672
1994-01-01,5128
1994-02-01,5425
1994-03-01,7099
1994-04-01,7014
1994-05-01,6947
1994-06-01,6947
1994-07-01,6834
1994-08-01,7766
1994-09-01,7177
1994-10-01,7718
1994-11-01,8810
1994-12-01,13296
1995-01-01,5331
1995-02-01,5472
1995-03-01,6944
1995-04-01,7079
1995-05-01,7190
1995-06-01,7087
1995-07-01,6805
1995-08-01,7727
1995-09-01,7558
1995-10-01,7425
1995-11-01,8988
1995-12-01,13102
1996-01-01,5325
1996-02-01,6050
1996-03-01,7189
1996-04-01,7278
1996-05-01,7648
1996-06-01,7277
1996-07-01,7000
1996-08-01,8304
1996-09-01,7495
1996-10-01,8024
1996-11-01,9114
1996-12-01,13008
1997-01-01,5785
1997-02-01,5902
1997-03-01,7640
1997-04-01,7110
1997-05-01,7916
1997-06-01,7444
1997-07-01,7540
1997-08-01,8802
1997-09-01,7797
1997-10-01,8436
1997-11-01,9522
1997-12-01,13828
1998-01-01,6224
1998-02-01,6366
1998-03-01,7736
1998-04-01,8414
1998-05-01,8436
1998-06-01,7983
1998-07-01,8211
1998-08-01,9128
1998-09-01,8040
1998-10-01,8993
1998-11-01,10031
1998-12-01,14566
1999-01-01,6559
1999-02-01,6871
1999-03-01,8673
1999-04-01,8903
1999-05-01,9171
1999-06-01,8624
1999-07-01,8817
1999-08-01,9712
1999-09-01,8917
1999-10-01,9427
1999-11-01,10528
1999-12-01,15479
2000-01-01,6683
2000-02-01,7470
2000-03-01,9283
2000-04-01,9420
2000-05-01,9496
2000-06-01,9156
2000-07-01,8872
2000-08-01,10340
2000-09-01,9683
2000-10-01,9823
2000-11-01,11492
2000-12-01,16379
2001-01-01,7211
2001-02-01,7820
2001-03-01,9492
2001-04-01,9676
2001-05-01,9674
2001-06-01,9292
2001-07-01,9055
2001-08-01,10567
2001-09-01,8910
2001-10-01,9815
2001-11-01,11212
2001-12-01,16484
2002-01-01,7468
2002-02-01,7971
2002-03-01,10178
2002-04-01,9517
2002-05-01,9882
2002-06-01,9530
2002-07-01,9338
2002-08-01,10804
2002-09-01,9139
2002-10-01,10461
2002-11-01,11703
2002-12-01,16843
2003-01-01,7920
2003-02-01,7941
2003-03-01,9949
2003-04-01,9992
2003-05-01,10522
2003-06-01,9853
2003-07-01,10140
2003-08-01,11175
2003-09-01,10042
2003-10-01,10875
2003-11-01,12209
2003-12-01,17743
2004-01-01,8682
2004-02-01,9133
2004-03-01,10893
2004-04-01,10974
2004-05-01,10998
2004-06-01,10396
2004-07-01,10796
2004-08-01,11380
2004-09-01,10579
2004-10-01,11695
2004-11-01,12823
2004-12-01,18940
2005-01-01,8932
2005-02-01,9501
2005-03-01,11744
2005-04-01,11544
2005-05-01,11502
2005-06-01,11479
2005-07-01,11267
2005-08-01,12148
2005-09-01,11142
2005-10-01,12387
2005-11-01,13649
2005-12-01,20280
2006-01-01,9489
2006-02-01,9824
2006-03-01,12148
2006-04-01,12495
2006-05-01,12204
2006-06-01,12178
2006-07-01,12107
2006-08-01,12948
2006-09-01,12435
2006-10-01,12964
2006-11-01,14375
2006-12-01,21379
2007-01-01,10335
2007-02-01,10531
2007-03-01,13563
2007-04-01,12757
2007-05-01,13423
2007-06-01,12806
2007-07-01,12537
2007-08-01,13737
2007-09-01,12564
2007-10-01,13209
2007-11-01,15317
2007-12-01,20843
2008-01-01,10478
2008-02-01,11092
2008-03-01,13223
2008-04-01,12671
2008-05-01,13804
2008-06-01,12577
2008-07-01,12814
2008-08-01,13753
2008-09-01,11890
2008-10-01,12580
2008-11-01,14156
